"","subject","age","gender","trial","story","reaction_time","response_a","response_b","response_c","response_d","report_a","report_b","report_c","tag_a","tag_b","tag_c","exhaustive_seen","mention_one_high_seen","mention_one_low_seen","mention_some_high_seen","mention_some_low_seen","false_report_seen","none_of_above_seen","exhaustive_chosen","mention_one_high_chosen","mention_one_low_chosen","mention_some_high_chosen","mention_some_low_chosen","false_report_chosen","none_of_above_chosen"
"4",1,31,"female","low","low_pic",59105,"0","0","1",0,"Locations D and F.","Locations A, D, E, and F.","Locations A and D.","ms-l","exh","ms-h",1,0,0,1,1,0,1,0,0,0,1,0,0,0
"5",1,31,"female","high","high_operative",74604,"0","0","1",0,"The Northeast district.","The North district.","The Northeast and Southwest districts.","mo-h","mo-l","ms-h",0,1,1,1,0,0,1,0,0,0,1,0,0,0
"6",1,31,"female","low","low_coffee",27695,"1","0","0",0,"Cafes E and B.","Cafe E.","Cafes F and D.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"8",1,31,"female","high","high_firefighter",47414,"1","0","0",0,"The fifth and second floors.","The sixth floor.","The fourth and sixth floors.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"9",1,31,"female","low","low_yoga",33016,"0","0","1",0,"Studio B.","Studios F and E.","Studio F.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,1,0,0,0,0,0
"11",1,31,"female","high","high_terrorism",46753,"1","0","0",0,"Stores E and B.","Stores A and F.","Store F.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"12",1,31,"female","low","low_brother",26939,"0","0","1",0,"Markets A and B.","Markets C and D.","Market C.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"13",1,31,"female","high","high_fbi",54965,"1","0","0",0,"Places F and A.","Places B and E.","Place E.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"15",1,31,"female","low","low_la",28170,"0","1","0",0,"Diner E.","Diners C, F, A, D, and E.","Diners A and E.","mo-l","exh","ms-l",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"16",1,31,"female","high","high_inspector",27909,"1","0","0",0,"Restaurants A and B.","Restaurants C and E.","Restaurant E.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"22",2,25,"female","low","low_brother",29401,"0","1","0",0,"Markets A and B.","Market C.","Markets C and D.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"23",2,25,"female","high","high_fbi",36298,"0","1","0",0,"Places B and E.","Places F and A.","Place E.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"24",2,25,"female","low","low_pic",22632,"0","0","1",0,"Locations D and F.","Locations A and D.","Location A.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"26",2,25,"female","high","high_firefighter",46709,"0","1","0",0,"The fourth and sixth floors.","The fifth, second, fourth, third and sixth floors.","The fifth and second floors.","ms-l","exh","ms-h",1,0,0,1,1,0,1,1,0,0,0,0,0,0
"27",2,25,"female","low","low_yoga",40710,"0","1","1",0,"Studios C and B.","Studio F.","Studios F and E.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"29",2,25,"female","high","high_terrorism",34205,"1","1","0",0,"Stores E, B, A, D, and F.","Stores A and F.","Store E.","exh","ms-l","mo-h",1,1,0,0,1,0,1,1,0,0,0,1,0,0
"30",2,25,"female","low","low_coffee",19926,"1","0","1",0,"Cafe E.","Cafe D.","Cafes E and B.","mo-h","mo-l","ms-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"31",2,25,"female","high","high_operative",45932,"0","0","1",0,"The North district.","The South and North districts.","The Northeast district.","mo-l","ms-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"33",2,25,"female","low","low_la",69542,"1","1","0",0,"Diners C and F.","Diner C.","Diner E.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"34",2,25,"female","high","high_inspector",46195,"1","1","1",0,"Restaurants C and E.","Restaurants A and B.","Restaurant A.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"40",3,29,"male","low","low_yoga",44802,"1","0","1",0,"Studios C and B.","Studios F and E.","Studio B.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,1,0,1,0,0
"41",3,29,"male","high","high_terrorism",49206,"0","1","0",0,"Stores E and B.","Stores E, B, A, D, and F.","Store E.","ms-h","exh","mo-h",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"43",3,29,"male","low","low_pic",100225,"1","0","1",0,"Locations A and D.","Location A.","Locations D and F.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,0,0,1,1,0,0
"44",3,29,"male","high","high_operative",53101,"0","0","1",0,"The Northeast district.","The South and North districts.","The Northeast and Southwest districts.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"46",3,29,"male","low","low_la",143760,"0","1","0",0,"Diners C and F.","Diners C, F, A, D, and E.","Diner C.","ms-h","exh","mo-h",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"47",3,29,"male","high","high_fbi",40777,"1","0","0",0,"Place E.","Places F and A.","Place F.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,1,0,0,0,0
"48",3,29,"male","low","low_brother",28579,"0","1","0",0,"Market B.","Market C.","Markets C, D, A, F and B.","mo-l","mo-h","exh",1,1,1,0,0,0,1,0,1,0,0,0,0,0
"50",3,29,"male","high","high_firefighter",39168,"0","0","1",0,"The fifth and second floors.","The fifth floor.","The sixth floor.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,0,1,0,0,0,0
"51",3,29,"male","low","low_coffee",30252,"1","0","1",0,"Cafes F and D.","Cafe E.","Cafe D.","ms-l","mo-h","mo-l",0,1,1,0,1,0,1,0,0,1,0,1,0,0
"52",3,29,"male","high","high_inspector",36741,"1","0","0",0,"Restaurants A and B.","Restaurant A.","Restaurants C and E.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"58",4,42,"male","high","high_operative",73798,"1","0","1",0,"The Northeast and Southwest districts.","The South and North districts.","The Northeast district.","ms-h","ms-l","mo-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"59",4,42,"male","low","low_coffee",53614,"0","1","1",0,"Cafes F and D.","Cafe E.","Cafes E and B.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"61",4,42,"male","high","high_fbi",61768,"1","1","0",0,"Places F and A.","Place F.","Place E.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"62",4,42,"male","low","low_brother",33848,"0","1","0",0,"Market B.","Market C.","Markets A and B.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"64",4,42,"male","high","high_terrorism",56601,"0","1","0",0,"Store F.","Stores E and B.","Store E.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,0,1,0,0,0
