subject,trial,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,mo_chosen,ms_chosen,ms_seen,mo_seen
8,low,1,0,1,1,0,0,0,0,0,0,,1
8,high,1,0,1,0,0,0,0,0,0,0,,1
9,low,1,0,1,1,1,0,0,0,1,0,,1
11,low,1,0,0,1,1,0,0,0,1,0,,1
11,high,1,0,1,0,0,0,0,0,0,0,,1
11,high,1,0,1,0,0,0,0,0,0,0,,1
11,high,1,0,1,0,0,0,0,0,0,0,,1
12,high,1,0,1,1,1,0,0,0,1,0,,1
12,low,1,0,1,0,1,0,0,0,1,0,,1
12,low,1,0,1,1,1,0,0,0,1,0,,1
12,low,1,0,1,0,1,0,0,0,1,0,,1
14,high,1,0,1,0,1,0,0,0,1,0,,1
14,low,1,0,1,0,1,0,0,0,1,0,,1
14,high,1,0,1,1,0,0,0,0,0,0,,1
14,high,1,0,1,0,0,0,0,0,0,0,,1
15,low,1,0,1,1,1,0,0,0,1,0,,1
15,low,1,0,1,1,1,0,0,0,1,0,,1
15,low,1,0,1,1,1,0,0,0,1,0,,1
15,high,1,0,1,1,0,0,0,0,0,0,,1
15,high,1,0,1,0,0,0,0,0,0,0,,1
17,low,1,0,0,1,1,0,0,0,1,0,,1
17,low,1,0,0,1,1,0,0,0,1,0,,1
19,low,1,0,0,1,1,0,0,0,1,0,,1
1,low,0,0,1,1,0,0,1,0,0,1,,0
6,low,0,0,1,1,0,0,1,1,0,1,,0
7,low,0,0,1,1,0,0,1,0,0,1,,0
9,low,0,0,1,1,0,0,1,0,0,1,,0
10,low,0,0,1,1,0,0,1,1,0,1,,0
10,low,0,0,1,1,0,0,1,0,0,1,,0
12,low,0,0,1,1,0,0,1,0,0,1,,0
13,high,0,0,1,1,0,0,1,1,0,1,,0
14,low,0,0,1,1,0,0,1,1,0,1,,0
16,low,0,0,1,1,0,0,1,1,0,1,,0
16,low,0,0,1,1,0,0,1,0,0,1,,0
19,low,0,0,1,1,0,0,1,1,0,1,,0
19,high,0,0,1,1,0,0,1,0,0,1,,0
2,high,0,0,1,1,0,0,0,0,0,0,,0
4,high,0,0,1,1,0,0,0,0,0,0,,0
8,high,0,0,1,1,0,0,0,0,0,0,,0
11,high,0,0,1,1,0,0,0,0,0,0,,0
14,high,0,0,1,1,0,0,0,0,0,0,,0
15,high,0,0,1,1,0,0,0,0,0,0,,0
15,low,0,0,1,1,0,0,0,0,0,0,,0
