"","subject","native_lang","age","gender","trial","story","reaction_time","response_a","response_b","response_c","response_d","report_a","report_b","report_c","tag_a","tag_b","tag_c","exhaustive_seen","mention_one_high_seen","mention_one_low_seen","mention_some_high_seen","mention_some_low_seen","false_report_seen","none_of_above_seen","exhaustive_chosen","mention_one_high_chosen","mention_one_low_chosen","mention_some_high_chosen","mention_some_low_chosen","false_report_chosen","none_of_above_chosen","tense"
"16","A3FFZN4FO3Q789","english",30,"male","train","train_m",7389,"1","1","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"17","A3FFZN4FO3Q789","english",30,"male","train","train_f",5555,"1","1","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"18","A3FFZN4FO3Q789","english",30,"male","test","test_coffee",3235,"0","1","1",0,"Cafe E.","Cafes A and B.","Cafe A.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0,"past"
"19","A3FFZN4FO3Q789","english",30,"male","control","control_when",2135,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,1,0,1,0,0,0,"past"
"20","A3FFZN4FO3Q789","english",30,"male","test","test_yarn",1572,"0","1","0",0,"Stall F.","Stalls A and B.","Stall E.","fa","ms-h","mo-l",0,0,1,1,0,0,1,0,0,0,1,0,0,0,"past"
"21","A3FFZN4FO3Q789","english",30,"male","test","test_books",2283,"0","0","1",0,"Bookstore F.","Bookstores D and E.","Bookstore A.","fa","ms-l","mo-h",0,1,0,0,1,0,1,0,1,0,0,0,0,0,"past"
"22","A3FFZN4FO3Q789","english",30,"male","control","control_what",2188,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,1,0,0,0,0,0,"past"
"23","A3FFZN4FO3Q789","english",30,"male","test","test_dentist",1746,"0","1","0",0,"Dentists A and B.","Dentists D and E.","Dentist E.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,0,1,0,0,"past"
"24","A3FFZN4FO3Q789","english",30,"male","control","control_why",4364,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,0,1,0,0,"past"
"25","A3FFZN4FO3Q789","english",30,"male","test","test_shoes",2235,"0","1","0",0,"Stores A and B.","Store E.","Stores D and E.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,1,0,0,0,0,"past"
"26","A3FFZN4FO3Q789","english",30,"male","test","test_hair",4653,"1","0","1",0,"Stylists A and B.","Stylist E.","Stylist A.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0,"past"
"27","A3FFZN4FO3Q789","english",30,"male","control","control_how",1836,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,1,0,1,0,0,0,"past"
"28","A3FFZN4FO3Q789","english",30,"male","exit_quest",NA,35049,"brunch in town","none","nothing else",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"29","A1XGI8153WBWFQ","Albanian",28,"male","consent",NA,45536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"30","A1XGI8153WBWFQ","Albanian",28,"male","train","train_m",29178,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"31","A1XGI8153WBWFQ","Albanian",28,"male","train","train_f",9034,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"32","A1XGI8153WBWFQ","Albanian",28,"male","test","test_dentist",17918,"0","1","0",0,"Dentists D and E.","Dentist E.","Dentist F.","ms-l","mo-l","fa",0,0,1,0,1,0,1,0,0,1,0,0,0,0,"past"
"33","A1XGI8153WBWFQ","Albanian",28,"male","test","test_books",2482,"0","1","0",0,"Bookstores A and B.","Bookstore E.","Bookstore A.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,0,1,0,0,0,0,"past"
"34","A1XGI8153WBWFQ","Albanian",28,"male","control","control_why",5128,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,1,0,0,0,0,"past"
"35","A1XGI8153WBWFQ","Albanian",28,"male","test","test_yarn",2518,"0","1","0",0,"Stalls A, B, C, D and E.","Stalls D and E.","Stall A.","exh","ms-l","mo-h",1,1,0,0,1,0,1,0,0,0,0,1,0,0,"past"
"36","A1XGI8153WBWFQ","Albanian",28,"male","test","test_hair",2536,"0","0","1",0,"Stylist E.","Stylist F.","Stylists D and E.","mo-l","fa","ms-l",0,0,1,0,1,0,1,0,0,0,0,1,0,0,"past"
"37","A1XGI8153WBWFQ","Albanian",28,"male","control","control_what",4576,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,1,0,0,"past"
"38","A1XGI8153WBWFQ","Albanian",28,"male","test","test_shoes",3846,"0","1","0",0,"Store A.","Stores D and E.","Store E.","mo-h","ms-l","mo-l",0,1,1,0,1,0,1,0,0,0,0,1,0,0,"past"
"39","A1XGI8153WBWFQ","Albanian",28,"male","control","control_how",2156,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,1,0,0,"past"
"40","A1XGI8153WBWFQ","Albanian",28,"male","test","test_coffee",2582,"0","0","1",0,"Cafes A and B.","Cafe E.","Cafes D and E.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,0,0,1,0,0,"past"
"41","A1XGI8153WBWFQ","Albanian",28,"male","control","control_when",2276,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,0,1,0,0,"past"
"42","A1XGI8153WBWFQ","Albanian",28,"male","exit_quest",NA,44370,"I would answer exactly the same way because the questions are similar","No%2C the task was easy.","No comment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"43","A14NSVH4W27CK0","english",28,"male","consent",NA,55742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"44","A14NSVH4W27CK0","english",28,"male","train","train_m",15274,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"45","A14NSVH4W27CK0","english",28,"male","train","train_f",6292,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"46","A14NSVH4W27CK0","english",28,"male","test","test_coffee",6092,"0","0","1",0,"Cafe E.","Cafe F.","Cafes A and B.","mo-l","fa","ms-h",0,0,1,1,0,0,1,0,0,0,1,0,0,0,"past"
"47","A14NSVH4W27CK0","english",28,"male","test","test_shoes",4060,"0","0","1",0,"Store A.","Stores A and B.","Stores A, B, C, D and E.","mo-h","ms-h","exh",1,1,0,1,0,0,1,1,0,0,0,0,0,0,"past"
"48","A14NSVH4W27CK0","english",28,"male","control","control_how",3460,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,"past"
"49","A14NSVH4W27CK0","english",28,"male","test","test_yarn",4448,"0","0","1",0,"Stall A.","Stall E.","Stalls A and B.","mo-h","mo-l","ms-h",0,1,1,1,0,0,1,0,0,0,1,0,0,0,"past"
"50","A14NSVH4W27CK0","english",28,"male","test","test_books",4500,"0","1","0",0,"Bookstore E.","Bookstore F.","Bookstores D and E.","mo-l","fa","ms-l",0,0,1,0,1,0,1,0,0,0,0,0,0,0,"past"
"51","A14NSVH4W27CK0","english",28,"male","control","control_what",6292,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,"past"
"52","A14NSVH4W27CK0","english",28,"male","test","test_hair",3896,"0","0","0",1,"Stylist F.","Stylists A and B.","Stylists D and E.","fa","ms-h","ms-l",0,0,0,1,1,0,1,0,0,0,0,0,0,1,"past"
"53","A14NSVH4W27CK0","english",28,"male","control","control_when",2450,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,0,0,0,1,"past"
"54","A14NSVH4W27CK0","english",28,"male","test","test_dentist",3294,"0","0","1",0,"Dentists A, B, C, D and E.","Dentist F.","Dentist E.","exh","fa","mo-l",1,0,1,0,0,0,1,0,0,1,0,0,0,0,"past"
"55","A14NSVH4W27CK0","english",28,"male","control","control_why",2278,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,1,0,0,0,0,"past"
"56","A14NSVH4W27CK0","english",28,"male","exit_quest",NA,65062,"i would tell her to go to the parekway cafe down the street.","no it was just long","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"57","ALDWVFR4I0V2D","English",28,"male","consent",NA,17697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"58","ALDWVFR4I0V2D","English",28,"male","train","train_m",18924,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"59","ALDWVFR4I0V2D","English",28,"male","train","train_f",18554,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"60","ALDWVFR4I0V2D","English",28,"male","test","test_books",45810,"0","0","0",1,"Bookstores A, B, C, D and E.","Bookstores A and B.","Bookstore E.","exh","ms-h","mo-l",1,0,1,1,0,0,1,0,0,0,0,0,0,1,"past"
"61","ALDWVFR4I0V2D","English",28,"male","test","test_yarn",25469,"0","1","1",0,"Stalls D and E.","Stall A.","Stalls A, B, C, D and E.","ms-l","mo-h","exh",1,1,0,0,1,0,1,1,1,0,0,0,0,0,"past"
"62","ALDWVFR4I0V2D","English",28,"male","control","control_what",12217,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,1,0,0,0,0,0,"past"
"63","ALDWVFR4I0V2D","English",28,"male","test","test_shoes",11232,"1","0","1",0,"Store A.","Store F.","Stores A and B.","mo-h","fa","ms-h",0,1,0,1,0,0,1,0,1,0,1,0,0,0,"past"
"64","ALDWVFR4I0V2D","English",28,"male","test","test_coffee",9523,"1","0","0",0,"Cafes A and B.","Cafes D and E.","Cafe E.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0,"past"
"65","ALDWVFR4I0V2D","English",28,"male","control","control_how",21280,"0","1","1",0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,1,0,0,0,"past"
"66","ALDWVFR4I0V2D","English",28,"male","test","test_dentist",11403,"0","0","0",1,"Dentists A, B, C, D and E.","Dentist E.","Dentists D and E.","exh","mo-l","ms-l",1,0,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"67","ALDWVFR4I0V2D","English",28,"male","control","control_when",21071,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"68","ALDWVFR4I0V2D","English",28,"male","test","test_hair",7119,"1","0","0",0,"Stylist A.","Stylists A and B.","Stylists D and E.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,0,0,0,0,"past"
"69","ALDWVFR4I0V2D","English",28,"male","control","control_why",13465,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,1,0,0,0,0,0,"past"
"70","ALDWVFR4I0V2D","English",28,"male","exit_quest",NA,40274,"No%2C because the two questions essentially ask the same thing.","Not really since the sentences were clear. However%2C some of the rankings were ambiguous.","No.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"71","A3GQR89E66AQJY","English",25,"female","consent",NA,17161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"72","A3GQR89E66AQJY","English",25,"female","train","train_m",33717,"0","1","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"73","A3GQR89E66AQJY","English",25,"female","train","train_f",15820,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"74","A3GQR89E66AQJY","English",25,"female","test","test_yarn",27190,"0","0","0",1,"Stalls D and E.","Stall A.","Stalls A and B.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,0,0,0,0,0,1,"past"
"75","A3GQR89E66AQJY","English",25,"female","test","test_books",11376,"0","0","0",1,"Bookstore A.","Bookstore E.","Bookstores D and E.","mo-h","mo-l","ms-l",0,1,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"76","A3GQR89E66AQJY","English",25,"female","control","control_why",12138,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"77","A3GQR89E66AQJY","English",25,"female","test","test_hair",18504,"0","1","0",0,"Stylists A and B.","Stylist A.","Stylists D and E.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,1,0,0,0,0,0,"past"
"78","A3GQR89E66AQJY","English",25,"female","control","control_how",9420,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,1,0,0,0,0,0,"past"
"79","A3GQR89E66AQJY","English",25,"female","test","test_dentist",11161,"0","0","0",1,"Dentist E.","Dentists A and B.","Dentist A.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,0,0,0,0,1,"past"
"80","A3GQR89E66AQJY","English",25,"female","test","test_coffee",9361,"0","0","0",1,"Cafe E.","Cafe A.","Cafes A, B, C, D and E.","mo-l","mo-h","exh",1,1,1,0,0,0,1,0,0,0,0,0,0,1,"past"
"81","A3GQR89E66AQJY","English",25,"female","control","control_what",6952,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,0,1,"past"
"82","A3GQR89E66AQJY","English",25,"female","test","test_shoes",9280,"0","1","0",0,"Store E.","Stores D and E.","Stores A and B.","mo-l","ms-l","ms-h",0,0,1,1,1,0,1,0,0,0,0,1,0,0,"past"
"83","A3GQR89E66AQJY","English",25,"female","control","control_when",18440,"0","1","1",0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,0,1,0,0,"past"
"84","A3GQR89E66AQJY","English",25,"female","exit_quest",NA,96190,"No%2C I would answer the same. Even though it's worded differently%2C it's asking the same thing.","Yes - I often didn't see any difference in the answers and many were just too vague.","No - thank you!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"85","A25ZLJK1VMAXXQ","English",25,"male","consent",NA,32833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"86","A25ZLJK1VMAXXQ","English",25,"male","train","train_f",16114,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"87","A25ZLJK1VMAXXQ","English",25,"male","train","train_m",29721,"0","1","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"88","A25ZLJK1VMAXXQ","English",25,"male","test","test_yarn",27427,"1","1","1",0,"Stalls A, B, C, D and E.","Stalls D and E.","Stalls A and B.","exh","ms-l","ms-h",1,0,0,1,1,0,1,1,0,0,1,1,0,0,"past"
"89","A25ZLJK1VMAXXQ","English",25,"male","test","test_dentist",13791,"0","0","0",1,"Dentist E.","Dentist F.","Dentist A.","mo-l","fa","mo-h",0,1,1,0,0,0,1,0,0,0,0,0,0,1,"past"
"90","A25ZLJK1VMAXXQ","English",25,"male","control","control_when",12857,"1","1","1",0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,0,1,"past"
"91","A25ZLJK1VMAXXQ","English",25,"male","test","test_shoes",8321,"0","0","0",1,"Stores D and E.","Store E.","Store A.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"92","A25ZLJK1VMAXXQ","English",25,"male","control","control_how",28626,"1","1","1",0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"93","A25ZLJK1VMAXXQ","English",25,"male","test","test_hair",28744,"0","0","0",1,"Stylists D and E.","Stylist A.","Stylist E.","ms-l","mo-h","mo-l",0,1,1,0,1,0,1,0,0,0,0,0,0,1,"past"
"94","A25ZLJK1VMAXXQ","English",25,"male","test","test_books",8435,"1","0","0",0,"Bookstore A.","Bookstores A and B.","Bookstores A, B, C, D and E.","mo-h","ms-h","exh",1,1,0,1,0,0,1,0,1,0,0,0,0,0,"past"
"95","A25ZLJK1VMAXXQ","English",25,"male","control","control_what",17082,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,"past"
"96","A25ZLJK1VMAXXQ","English",25,"male","test","test_coffee",12669,"0","0","0",1,"Cafes D and E.","Cafes A and B.","Cafes A, B, C, D and E.","ms-l","ms-h","exh",1,0,0,1,1,0,1,0,0,0,0,0,0,1,"past"
"97","A25ZLJK1VMAXXQ","English",25,"male","control","control_why",14686,"1","1","0",0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,0,0,0,1,"past"
"98","A25ZLJK1VMAXXQ","English",25,"male","exit_quest",NA,35912,"No%2C because I would pick my favorite restaurants to recommend to the person.","No%2C because it's a lot of common sense.","This was a fun and unique study. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"99","A2791MEBSOAD1U","english",35,"female","consent",NA,27808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"100","A2791MEBSOAD1U","english",35,"female","train","train_f",32499,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"101","A2791MEBSOAD1U","english",35,"female","train","train_m",39703,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"102","A2791MEBSOAD1U","english",35,"female","test","test_yarn",38375,"0","0","1",0,"Stalls A and B.","Stalls D and E.","Stalls A, B, C, D and E.","ms-h","ms-l","exh",1,0,0,1,1,0,1,1,0,0,0,0,0,0,"past"
"103","A2791MEBSOAD1U","english",35,"female","test","test_books",23002,"0","1","0",0,"Bookstores D and E.","Bookstores A and B.","Bookstore A.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,0,0,1,0,0,0,"past"
"104","A2791MEBSOAD1U","english",35,"female","control","control_how",25538,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,0,1,0,0,0,"past"
"105","A2791MEBSOAD1U","english",35,"female","test","test_dentist",23822,"0","0","0",1,"Dentists D and E.","Dentist F.","Dentist A.","ms-l","fa","mo-h",0,1,0,0,1,0,1,0,0,0,0,0,0,1,"past"
"106","A2791MEBSOAD1U","english",35,"female","test","test_shoes",13085,"1","0","0",0,"Store A.","Stores A and B.","Store F.","mo-h","ms-h","fa",0,1,0,1,0,0,1,0,1,0,0,0,0,0,"past"
"107","A2791MEBSOAD1U","english",35,"female","control","control_what",17100,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,"past"
"108","A2791MEBSOAD1U","english",35,"female","test","test_coffee",8430,"0","0","1",0,"Cafe E.","Cafes D and E.","Cafe A.","mo-l","ms-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0,"past"
"109","A2791MEBSOAD1U","english",35,"female","control","control_why",16347,"1","0","0",0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,1,0,0,0,0,0,"past"
"110","A2791MEBSOAD1U","english",35,"female","test","test_hair",13747,"0","1","0",0,"Stylist F.","Stylists A, B, C, D and E.","Stylists D and E.","fa","exh","ms-l",1,0,0,0,1,0,1,1,0,0,0,0,0,0,"past"
"111","A2791MEBSOAD1U","english",35,"female","control","control_when",39282,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,0,0,0,0,0,"past"
"112","A2791MEBSOAD1U","english",35,"female","exit_quest",NA,31660,"No%2C I would always give the best options for both questions.","no%2C just a little boring","nope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"113","A34B9FXOCN08RW","english",32,"male","consent",NA,22868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"114","A34B9FXOCN08RW","english",32,"male","train","train_f",23011,"0","0","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"115","A34B9FXOCN08RW","english",32,"male","train","train_m",34498,"0","0","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"past"
"116","A34B9FXOCN08RW","english",32,"male","test","test_dentist",19491,"0","0","1",0,"Dentist F.","Dentists D and E.","Dentist E.","fa","ms-l","mo-l",0,0,1,0,1,0,1,0,0,1,0,0,0,0,"past"
"117","A34B9FXOCN08RW","english",32,"male","test","test_coffee",89244,"1","1","1",0,"Cafes D and E.","Cafe F.","Cafe A.","ms-l","fa","mo-h",0,1,0,0,1,0,1,0,1,0,0,1,0,0,"past"
"118","A34B9FXOCN08RW","english",32,"male","control","control_how",25075,"1","1","1",0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,1,0,0,1,0,0,"past"
"119","A34B9FXOCN08RW","english",32,"male","test","test_yarn",12738,"1","1","1",0,"Stalls D and E.","Stalls A and B.","Stall F.","ms-l","ms-h","fa",0,0,0,1,1,0,1,0,0,0,1,1,0,0,"past"
"120","A34B9FXOCN08RW","english",32,"male","control","control_what",9661,"0","1","0",0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,1,1,0,0,"past"
"121","A34B9FXOCN08RW","english",32,"male","test","test_books",18156,"1","1","1",0,"Bookstores A and B.","Bookstores D and E.","Bookstore E.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0,"past"
"122","A34B9FXOCN08RW","english",32,"male","test","test_shoes",14819,"1","1","1",0,"Stores A and B.","Store E.","Stores D and E.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0,"past"
"123","A34B9FXOCN08RW","english",32,"male","control","control_why",14037,"1","1","0",0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,1,1,1,0,0,"past"
"124","A34B9FXOCN08RW","english",32,"male","test","test_hair",9308,"1","1","1",0,"Stylists D and E.","Stylist E.","Stylists A and B.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,1,1,1,0,0,"past"
