subject,native_lang,trial,story,tense,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A1SHLWKA0UH1IS,english,test,test_shoes,present,fa,mo-l,exh,1,0,1,0,0,0,1,1,0,1,0,0,0,0
A2JIY3NSLQJWAE,english,test,test_shoes,present,ms-h,fa,mo-l,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A2JIY3NSLQJWAE,english,test,test_yarn,present,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,1,1,0,0,0,0
AZXTZQBZ1F4UV,english,test,test_coffee,present,mo-l,fa,ms-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
AZXTZQBZ1F4UV,english,test,test_shoes,present,exh,mo-l,ms-l,1,0,1,0,1,0,1,1,0,1,0,1,0,0
AD6FEEQSW8PRE,ENGLISH,test,test_books,present,fa,mo-l,ms-h,0,0,1,1,0,0,1,0,0,1,0,0,0,0
A2TNTYHHICCA3Z,ENGLISH,test,test_coffee,present,ms-l,mo-l,exh,1,0,1,0,1,0,1,1,0,1,0,1,0,0
A2TNTYHHICCA3Z,ENGLISH,test,test_hair,present,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
ADNSFH55XO2F8,English,test,test_coffee,present,mo-l,exh,ms-l,1,0,1,0,1,0,1,0,0,1,0,0,0,0
ADNSFH55XO2F8,English,test,test_yarn,present,mo-l,mo-h,ms-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
ADNSFH55XO2F8,English,test,test_books,present,mo-h,mo-l,exh,1,1,1,0,0,0,1,0,0,1,0,0,0,0
A1IJ9VL8YPIE3T,English ,test,test_yarn,present,mo-l,ms-l,ms-h,0,0,1,1,1,0,1,0,0,1,0,0,0,0
AHZ7C7ETHYX3N,English,test,test_coffee,present,mo-l,ms-h,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
AHZ7C7ETHYX3N,English,test,test_books,present,mo-h,exh,mo-l,1,1,1,0,0,0,1,1,1,1,0,0,0,0
AHZ7C7ETHYX3N,English,test,test_shoes,present,ms-l,mo-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
AT13EK8JER5C3,ENGLISH,test,test_shoes,present,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A255V2M0CC1G8L,ENGLISH,test,test_books,present,exh,mo-l,ms-l,1,0,1,0,1,0,1,0,0,1,0,0,0,0
A3RL02A3JRAUS4,English,test,test_yarn,present,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A3RL02A3JRAUS4,English,test,test_coffee,present,fa,ms-h,mo-l,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A13FUEPWBCLBUY,English,test,test_yarn,present,ms-l,mo-l,fa,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A13FUEPWBCLBUY,English,test,test_shoes,present,mo-l,ms-h,ms-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A13FUEPWBCLBUY,English,test,test_books,present,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A2BZY06YRWGEDL,English,test,test_shoes,present,mo-l,mo-h,fa,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A2BZY06YRWGEDL,English,test,test_books,present,ms-l,mo-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A2BZY06YRWGEDL,English,test,test_hair,present,mo-l,ms-h,fa,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A1EQ1LHEEIQ3UA,English,test,test_hair,present,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A10T7GP0TH27RB,english,test,test_dentist,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
A1GV1POLY1EHJV,english,test,test_books,present,fa,mo-l,ms-h,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A1GV1POLY1EHJV,english,test,test_shoes,present,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A1GV1POLY1EHJV,english,test,test_coffee,present,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A1GV1POLY1EHJV,english,test,test_yarn,present,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
APLBF6JY2C1QZ,English,test,test_hair,present,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A35KO5LPASBFI9,English,test,test_books,present,mo-l,fa,exh,1,0,1,0,0,0,1,1,0,1,0,0,0,0
