subject,native_lang,trial,story,tense,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A19L8SNH73AX1Z,English,test,test_hair,past,ms-h,exh,mo-l,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A2C6HMH2FDM2CI,English,test,test_coffee,past,ms-h,mo-l,fa,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A0017268R9SKD8U2Y3F,English,test,test_coffee,past,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A0017268R9SKD8U2Y3F,English,test,test_shoes,past,ms-h,mo-l,exh,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A3CZ2S6TCQTJBK,english,test,test_hair,past,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A1CSHXVJJ8BPHH,ENGLISH,test,test_yarn,past,fa,ms-l,mo-l,0,0,1,0,1,0,1,0,0,1,0,0,0,0
A3LT7W355XOAKF,English,test,test_coffee,past,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A3LT7W355XOAKF,English,test,test_dentist,past,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A3LT7W355XOAKF,English,test,test_books,past,mo-l,mo-h,exh,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A1CGDMOPDIC7EU,english,test,test_dentist,past,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A1CGDMOPDIC7EU,english,test,test_hair,past,ms-l,fa,mo-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
AQKB8JSBEMXK9,english,test,test_yarn,past,ms-h,fa,mo-l,0,0,1,1,0,0,1,0,0,1,1,0,0,0
AQKB8JSBEMXK9,english,test,test_shoes,past,mo-l,ms-h,ms-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A27K37YQZDPER6,English,test,test_coffee,past,mo-h,mo-l,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
AA4O2W236E3FW,English,test,test_dentist,past,fa,mo-l,ms-l,0,0,1,0,1,0,1,0,0,1,0,0,0,0
A1ODA3Q5H6HTDQ,english,test,test_hair,past,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A1ODA3Q5H6HTDQ,english,test,test_coffee,past,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
AL36KBFL3ORCD,English,test,test_hair,past,ms-l,mo-l,fa,0,0,1,0,1,0,1,0,0,1,0,1,0,0
AL36KBFL3ORCD,English,test,test_yarn,past,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A1LC7VHVIFI8BP,english,test,test_shoes,past,exh,ms-h,mo-l,1,0,1,1,0,0,1,0,0,1,0,0,0,0
ACFJI8D9OGJTL,English,test,test_books,past,mo-l,ms-l,fa,0,0,1,0,1,0,1,0,0,1,0,1,0,0
AL6WVETPGOW1A,english,test,test_shoes,past,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,0,1,0,0,0,0
A372F1FDPWXBY3,English,test,test_hair,past,mo-h,mo-l,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
